amp_uAcm2,spiked,peak_V_mV,t_peak_ms,min_V_mV,max_INa_uAcm2,max_INa_abs_uAcm2,max_IK_uAcm2,csv_path,config_path
0.0,0,-64.99283969,3.92,-65.0,-1.222921955,1.222921955,4.405380114,runs/phase2/csv/run_amp_0.csv,runs/phase2/configs/run_amp_0.cfg
0.5,0,-64.58881076,6.0,-65.09962718,-1.38157168,1.38157168,4.587681718,runs/phase2/csv/run_amp_0p5.csv,runs/phase2/configs/run_amp_0p5.cfg
1.0,0,-64.1808533,6.0,-65.20500635,-1.56200513,1.56200513,4.777819775,runs/phase2/csv/run_amp_1.csv,runs/phase2/configs/run_amp_1.cfg
1.5,0,-63.76976022,6.0,-65.31387385,-1.766942423,1.766942423,4.978481024,runs/phase2/csv/run_amp_1p5.csv,runs/phase2/configs/run_amp_1p5.cfg
2.0,0,-63.35527111,6.0,-65.42711557,-2.000272904,2.000272904,5.192555522,runs/phase2/csv/run_amp_2.csv,runs/phase2/configs/run_amp_2.cfg
2.5,0,-62.93710609,6.0,-65.54587588,-2.266807478,2.266807478,5.423622222,runs/phase2/csv/run_amp_2p5.csv,runs/phase2/configs/run_amp_2p5.cfg
3.0,0,-62.51496445,6.0,-65.67168803,-2.572556877,2.572556877,5.676408117,runs/phase2/csv/run_amp_3.csv,runs/phase2/configs/run_amp_3.cfg
3.5,0,-62.088523,6.0,-65.80667023,-2.925354811,2.925354811,5.957498287,runs/phase2/csv/run_amp_3p5.csv,runs/phase2/configs/run_amp_3p5.cfg
4.0,0,-61.6574344,6.0,-65.95390079,-3.335835092,3.335835092,6.276584042,runs/phase2/csv/run_amp_4.csv,runs/phase2/configs/run_amp_4.cfg
4.5,0,-61.22132529,6.0,-66.11811409,-3.819366346,3.819366346,6.648894035,runs/phase2/csv/run_amp_4p5.csv,runs/phase2/configs/run_amp_4p5.cfg
5.0,0,-60.77979431,6.0,-66.30721261,-4.400485396,4.400485396,7.100574311,runs/phase2/csv/run_amp_5.csv,runs/phase2/configs/run_amp_5.cfg
5.5,0,-60.33240992,6.0,-66.53604531,-5.125795149,5.125795149,7.682399095,runs/phase2/csv/run_amp_5p5.csv,runs/phase2/configs/run_amp_5p5.cfg
6.0,0,-59.87809806,6.01,-66.83852263,-6.113235226,6.113235226,8.515834223,runs/phase2/csv/run_amp_6.csv,runs/phase2/configs/run_amp_6.cfg
6.25,0,-59.57754419,7.05,-67.04440988,-6.813003005,6.813003005,9.128574036,runs/phase2/csv/run_amp_6p25.csv,runs/phase2/configs/run_amp_6p25.cfg
6.5,0,-59.07149464,7.42,-67.33092223,-7.843464349,7.843464349,10.04791377,runs/phase2/csv/run_amp_6p5.csv,runs/phase2/configs/run_amp_6p5.cfg
6.875,0,-56.73527662,9.31,-68.73788501,-14.26741136,14.26741136,15.95299658,runs/phase2/csv/run_amp_6p875.csv,runs/phase2/configs/run_amp_6p875.cfg
6.953125,1,34.50208318,10.48,-76.13843029,-741.7855964,741.7855964,776.605289,runs/phase2/csv/run_amp_6p953125.csv,runs/phase2/configs/run_amp_6p953125.cfg
7.0,1,35.17465434,10.11,-76.14355274,-748.4208237,748.4208237,783.0794996,runs/phase2/csv/run_amp_7.csv,runs/phase2/configs/run_amp_7.cfg
