amp_uAcm2,spiked,peak_V_mV,t_peak_ms,min_V_mV,max_INa_uAcm2,max_INa_abs_uAcm2,max_IK_uAcm2,csv_path,config_path
0.0,0,-64.99283969,3.92,-65.0,-1.222921955,1.222921955,4.405380114,runs/phase2_amp20_only/csv/run_amp_0.csv,runs/phase2_amp20_only/configs/run_amp_0.cfg
1.0,0,-64.1808533,6.0,-65.20500635,-1.56200513,1.56200513,4.777819775,runs/phase2_amp20_only/csv/run_amp_1.csv,runs/phase2_amp20_only/configs/run_amp_1.cfg
2.0,0,-63.35527111,6.0,-65.42711557,-2.000272904,2.000272904,5.192555522,runs/phase2_amp20_only/csv/run_amp_2.csv,runs/phase2_amp20_only/configs/run_amp_2.cfg
3.0,0,-62.51496445,6.0,-65.67168803,-2.572556877,2.572556877,5.676408117,runs/phase2_amp20_only/csv/run_amp_3.csv,runs/phase2_amp20_only/configs/run_amp_3.cfg
4.0,0,-61.6574344,6.0,-65.95390079,-3.335835092,3.335835092,6.276584042,runs/phase2_amp20_only/csv/run_amp_4.csv,runs/phase2_amp20_only/configs/run_amp_4.cfg
5.0,0,-60.77979431,6.0,-66.30721261,-4.400485396,4.400485396,7.100574311,runs/phase2_amp20_only/csv/run_amp_5.csv,runs/phase2_amp20_only/configs/run_amp_5.cfg
6.0,0,-59.87809806,6.01,-66.83852263,-6.113235226,6.113235226,8.515834223,runs/phase2_amp20_only/csv/run_amp_6.csv,runs/phase2_amp20_only/configs/run_amp_6.cfg
7.0,1,35.17465434,10.11,-76.14355274,-748.4208237,748.4208237,783.0794996,runs/phase2_amp20_only/csv/run_amp_7.csv,runs/phase2_amp20_only/configs/run_amp_7.cfg
8.0,1,37.88643823,8.35,-76.16382099,-775.6220271,775.6220271,809.5779305,runs/phase2_amp20_only/csv/run_amp_8.csv,runs/phase2_amp20_only/configs/run_amp_8.cfg
9.0,1,38.636033,7.82,-76.16922019,-783.2163166,783.2163166,816.9718381,runs/phase2_amp20_only/csv/run_amp_9.csv,runs/phase2_amp20_only/configs/run_amp_9.cfg
10.0,1,39.07352337,7.51,-76.17239875,-787.7196264,787.7196264,821.3653899,runs/phase2_amp20_only/csv/run_amp_10.csv,runs/phase2_amp20_only/configs/run_amp_10.cfg
