amp_uAcm2,spiked,peak_V_mV,t_peak_ms,min_V_mV,max_INa_uAcm2,max_INa_abs_uAcm2,max_IK_uAcm2,csv_path,config_path
0.0,0,-64.99283969,3.92,-65.0,-1.222921955,1.222921955,4.405380114,runs/phase2_step_highI/csv/run_amp_0.csv,runs/phase2_step_highI/configs/run_amp_0.cfg
5.0,1,39.04807909,8.23,-75.60851367,-784.2354193,784.2354193,822.8242072,runs/phase2_step_highI/csv/run_amp_5.csv,runs/phase2_step_highI/configs/run_amp_5.cfg
10.0,1,40.26024607,7.14,-75.07813495,-793.4016255,793.4016255,836.605411,runs/phase2_step_highI/csv/run_amp_10.csv,runs/phase2_step_highI/configs/run_amp_10.cfg
15.0,1,40.86806781,6.73,-74.55473782,-796.3109873,796.3109873,844.2945643,runs/phase2_step_highI/csv/run_amp_15.csv,runs/phase2_step_highI/configs/run_amp_15.cfg
20.0,1,41.2955288,6.5,-76.04947368,-797.4293236,797.4293236,850.2722283,runs/phase2_step_highI/csv/run_amp_20.csv,runs/phase2_step_highI/configs/run_amp_20.cfg
25.0,1,41.64667519,6.35,-76.04484805,-797.7583767,797.7583767,855.432653,runs/phase2_step_highI/csv/run_amp_25.csv,runs/phase2_step_highI/configs/run_amp_25.cfg
30.0,1,41.95063272,6.24,-76.02266646,-797.626028,797.626028,860.1760082,runs/phase2_step_highI/csv/run_amp_30.csv,runs/phase2_step_highI/configs/run_amp_30.cfg
35.0,1,42.22931348,6.16,-75.98017727,-797.2097491,797.2097491,864.6299319,runs/phase2_step_highI/csv/run_amp_35.csv,runs/phase2_step_highI/configs/run_amp_35.cfg
40.0,1,42.48594786,6.09,-72.36354031,-796.6112274,796.6112274,868.921242,runs/phase2_step_highI/csv/run_amp_40.csv,runs/phase2_step_highI/configs/run_amp_40.cfg
45.0,1,42.72226238,6.04,-73.66081528,-795.8829666,795.8829666,873.0812581,runs/phase2_step_highI/csv/run_amp_45.csv,runs/phase2_step_highI/configs/run_amp_45.cfg
50.0,1,42.95912066,5.99,-75.80045351,-795.0544775,795.0544775,877.1486828,runs/phase2_step_highI/csv/run_amp_50.csv,runs/phase2_step_highI/configs/run_amp_50.cfg
